'SSet','','2839','N10238','b','2890','','','2895','X12238','','2945','X13238'
'SSet','','2840','N10239','b','2890','','','2896','X12239','','2946','X13239'
'SSet','','2842','N10241','d','2892','','','2898','X12241','','2948','X13241'
'SSet','','2843','N10242','e','2893','','','2899','X12242','','2949','X13242'
'SSet','','2844','N10243','b','2890','','','2900','X12243','','2950','X13243'
'SSet','','2845','N10244','c','2891','','','2901','X12244','','2951','X13244'
'SSet','','2846','N10245','b','2890','','','2902','X12245','','2952','X13245'
'SSet','','2847','N10246','e','2893','','','2903','X12246','','2953','X13246'
'SSet','','2848','N10247','e','2893','','','2904','X12247','','2954','X13247'
'SSet','','2849','N10248','b','2890','','','2905','X12248','','2955','X13248'
'SSet','','2850','N10249','a','2889','','','2906','X12249','','2956','X13249'
'SSet','','2853','N10252','a','2889','','','2909','X12252','','2959','X13252'
'SSet','','2857','N10256','a','2889','','','2913','X12256','','2963','X13256'
'SSet','','2858','N10257','b','2890','','','2914','X12257','','2964','X13257'
'SSet','','2860','N10259','b','2890','','','2916','X12259','','2966','X13259'
'SSet','','2862','N10261','b','2890','','','2918','X12261','','2968','X13261'
'SSet','','2863','N10262','a','2889','','','2919','X12262','','2969','X13262'
'SSet','','2864','N10263','e','2893','','','2920','X12263','','2970','X13263'
'SSet','','2865','N10264','d','2892','','','2921','X12264','','2971','X13264'
'SSet','','2866','N10265','f','2894','','','2922','X12265','','2972','X13265'
'SSet','','2867','N10266','e','2893','','','2923','X12266','','2973','X13266'
'SSet','','2868','N10267','f','2894','','','2924','X12267','','2974','X13267'
'SSet','','2870','N10269','b','2890','','','2926','X12269','','2976','X13269'
'SSet','','2871','N10270','d','2892','','','2927','X12270','','2977','X13270'
'SSet','','2872','N10271','a','2889','','','2928','X12271','','2978','X13271'
'SSet','','2874','N10273','d','2892','','','2930','X12273','','2980','X13273'
'SSet','','2877','N10276','a','2889','','','2933','X12276','','2983','X13276'
'SSet','','2879','N10278','a','2889','','','2935','X12278','','2985','X13278'
'SSet','','2885','N10284','d','2892','','','2941','X12284','','2991','X13284'
'SSet','','2886','N10285','a','2889','','','2942','X12285','','2992','X13285'
'SSet','','2887','N10286','c','2891','','','2943','X12286','','2993','X13286'
'SSet','','2839','N10238','d','2892','','a','2995','','','3001','N11238'
'SSet','','2840','N10239','a','2889','','d','2998','','','3002','N11239'
'SSet','','2842','N10241','e','2893','','f','3000','','','3004','N11241'
'SSet','','2843','N10242','a','2889','','a','2995','','','3005','N11242'
'SSet','','2844','N10243','f','2894','','b','2996','','','3006','N11243'
'SSet','','2845','N10244','a','2889','','a','2995','','','3007','N11244'
'SSet','','2846','N10245','a','2889','','e','2999','','','3008','N11245'
'SSet','','2847','N10246','a','2889','','b','2996','','','3009','N11246'
'SSet','','2848','N10247','d','2892','','d','2998','','','3010','N11247'
'SSet','','2849','N10248','a','2889','','f','3000','','','3011','N11248'
'SSet','','2850','N10249','c','2891','','b','2996','','','3012','N11249'
'SSet','','2852','N10251','b','2890','','a','2995','','','3014','N11251'
'SSet','','2853','N10252','b','2890','','a','2995','','','3015','N11252'
